epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1770.27,1.79262,2.86626,1.31104,0.90526,0.54003,0.71013,0.35925,1.76702,2.17275,1.33759,0.000661417,0.000661417,0.000661417
2,3384.12,1.76584,1.81756,1.3664,0.85163,0.82902,0.88017,0.43788,1.74055,1.41166,1.34934,0.00119541,0.00119541,0.00119541
3,4275.03,1.72744,1.35333,1.35794,0.89621,0.854,0.89565,0.47333,1.68451,1.15061,1.34101,0.0015962,0.0015962,0.0015962
4,5154.33,1.69126,1.15805,1.34401,0.9375,0.61224,0.78415,0.43217,1.69646,1.28936,1.33726,0.0014006,0.0014006,0.0014006
5,6013.86,1.63933,1.06151,1.32228,0.90947,0.89325,0.93203,0.50036,1.65092,1.03097,1.31343,0.0012008,0.0012008,0.0012008
6,6891.35,1.61927,0.97215,1.29444,0.91792,0.89168,0.92879,0.52029,1.59552,0.92146,1.28003,0.001001,0.001001,0.001001
7,7868.69,1.57423,0.91,1.26123,0.92559,0.91366,0.95451,0.52607,1.58574,0.88166,1.2689,0.0008012,0.0008012,0.0008012
8,8832.93,1.55089,0.86661,1.24148,0.93218,0.92779,0.95085,0.53453,1.55984,0.85065,1.2567,0.0006014,0.0006014,0.0006014
9,9807.3,1.52944,0.81694,1.23846,0.93008,0.91523,0.95342,0.54574,1.5378,0.81705,1.24131,0.0004016,0.0004016,0.0004016
10,10760.6,1.50585,0.79433,1.2175,0.93132,0.93664,0.95895,0.55593,1.53608,0.78671,1.23084,0.0002018,0.0002018,0.0002018
